Country,Mean_Index,Std_Dev,Min_Index,Max_Index,Range
South Korea,100.0,0.0,100.0,100.0,0.0
United States,74.4,11.0,58.44,88.91,30.47
Japan,69.49,10.89,53.76,84.49,30.73
Singapore,67.63,11.49,52.79,84.45,31.66
New Zealand,65.71,13.75,49.08,86.58,37.5
Israel,61.12,16.2,44.14,86.55,42.41
Sweden,60.93,11.19,49.07,78.54,29.47
Finland,60.03,12.17,49.13,79.58,30.44
Estonia,59.31,14.37,37.58,76.93,39.35
Switzerland,59.04,8.41,52.12,72.7,20.57
Germany,58.58,16.27,43.98,84.75,40.77
Australia,56.82,7.24,45.99,65.83,19.84
United Kingdom,55.45,8.21,42.29,62.8,20.51
Denmark,54.3,6.82,47.93,65.36,17.44
Iceland,50.42,6.64,40.18,57.92,17.74
Austria,50.05,13.45,38.92,71.76,32.84
Norway,45.73,2.95,41.67,49.81,8.13
Slovakia,44.39,10.24,27.92,52.98,25.06
Canada,43.46,5.3,36.12,50.86,14.74
Luxembourg,42.97,7.77,32.12,53.7,21.58
Slovenia,40.63,7.52,34.5,53.02,18.53
China,40.24,7.32,28.68,47.48,18.8
Portugal,39.6,7.63,29.5,50.7,21.19
Malta,39.46,14.08,23.77,61.57,37.8
France,38.95,9.42,29.65,54.13,24.48
Ireland,37.39,5.26,29.85,44.35,14.5
Malaysia,37.21,12.41,21.39,55.61,34.22
Tunisia,36.79,14.25,20.01,58.67,38.66
Uzbekistan,36.64,12.36,16.94,48.72,31.78
Czechia,35.05,6.69,27.76,45.74,17.98
Netherlands,34.76,2.72,32.74,39.47,6.73
Cyprus,34.65,13.05,22.3,55.82,33.53
Peru,30.72,11.81,14.0,46.81,32.81
Belgium,30.61,5.93,25.67,40.53,14.86
Chile,29.1,10.07,15.81,43.8,27.99
Croatia,28.39,4.88,22.0,35.57,13.57
Thailand,28.29,9.13,13.74,35.73,21.99
Spain,28.04,6.29,22.87,38.52,15.65
Lithuania,27.1,5.49,19.05,33.99,14.95
Greece,26.4,7.19,20.31,38.35,18.04
Italy,24.63,5.96,18.33,34.44,16.11
Colombia,24.52,9.15,11.5,36.87,25.37
Ukraine,24.33,7.36,12.75,31.0,18.24
Latvia,23.91,6.47,16.06,33.9,17.84
Trinidad and Tobago,21.87,7.3,10.51,29.28,18.77
Romania,21.81,5.45,13.65,28.21,14.56
Hungary,20.73,4.04,15.21,26.33,11.12
Serbia,20.51,6.28,13.98,30.72,16.74
Panama,19.86,10.23,8.61,36.15,27.54
India,19.05,8.96,8.55,33.0,24.45
Brazil,18.75,6.57,10.04,28.31,18.27
Philippines,18.46,6.95,7.64,25.19,17.55
Belarus,18.46,8.87,10.02,32.94,22.93
South Africa,18.06,6.26,9.05,26.25,17.2
Madagascar,16.98,7.34,6.75,27.12,20.37
Moldova,16.75,5.72,7.96,22.38,14.42
Kazakhstan,16.53,5.56,8.09,22.53,14.44
Poland,16.41,3.31,14.09,22.19,8.09
Mexico,16.09,6.08,7.43,24.17,16.74
Armenia,15.87,8.19,8.14,29.38,21.24
Saudi Arabia,15.87,5.65,9.02,24.62,15.6
Mongolia,14.72,6.4,6.45,24.23,17.78
Morocco,14.54,6.12,6.39,23.39,17.01
Bulgaria,14.45,3.59,9.59,19.35,9.76
Algeria,13.72,6.98,5.94,24.85,18.92
North Macedonia,11.92,3.82,6.3,15.43,9.14
El Salvador,11.89,5.09,4.21,17.14,12.94
Georgia,11.03,4.05,5.37,16.29,10.92
Uruguay,10.8,5.18,5.46,19.36,13.9
Guatemala,6.86,8.15,0.0,20.59,20.59
Costa Rica,6.42,4.97,2.14,14.89,12.75
Argentina,4.96,2.67,2.43,9.45,7.02
Pakistan,2.86,3.67,0.0,9.22,9.22
Azerbaijan,2.82,2.94,0.47,7.95,7.48
Bosnia and Herzegovina,1.0,2.04,0.0,4.64,4.64
