Country,Базовий,Акцент на ресурси,Акцент на виходи,Акцент на екосистему,Рівномірний
South Korea,100.0,100.0,100.0,100.0,100.0
United States,71.82,74.92,58.44,88.91,77.88
Japan,69.5,84.49,70.72,53.76,69.0
Singapore,65.28,84.45,52.79,64.67,70.94
New Zealand,62.92,60.79,49.08,86.58,69.2
Sweden,58.96,78.54,49.07,54.63,63.47
Israel,58.45,86.55,44.14,51.47,64.96
Finland,58.21,79.58,49.13,50.9,62.35
Switzerland,57.74,72.7,52.12,52.3,60.34
Germany,56.59,84.75,46.33,43.98,61.28
Estonia,55.77,62.25,37.58,76.93,64.01
Australia,54.84,58.55,45.99,65.83,58.9
United Kingdom,53.16,62.8,42.29,60.9,58.13
Denmark,53.02,65.36,47.93,49.81,55.38
Iceland,48.47,53.23,40.18,57.92,52.29
Austria,48.11,71.76,38.92,39.12,52.32
Norway,44.66,49.81,41.67,46.44,46.09
Canada,41.91,50.86,36.12,43.81,44.61
Slovakia,41.51,51.82,27.92,52.98,47.71
Luxembourg,40.85,43.33,32.12,53.7,44.87
Slovenia,39.33,53.02,34.91,34.5,41.41
China,38.04,47.48,28.68,44.64,42.34
Portugal,37.64,50.7,29.5,38.78,41.39
France,37.13,54.13,29.65,33.26,40.59
Malta,36.54,33.02,23.77,61.57,42.39
Ireland,35.75,44.35,29.85,38.5,38.5
Malaysia,34.44,55.61,21.39,34.21,40.41
Tunisia,33.9,58.67,20.01,31.11,40.25
Netherlands,33.88,39.47,32.74,33.19,34.5
Czechia,33.45,45.74,27.76,32.19,36.12
Uzbekistan,33.21,43.68,16.94,48.72,40.63
Cyprus,32.17,26.26,22.3,55.82,36.71
Belgium,29.43,40.53,26.56,25.67,30.84
Peru,27.62,31.28,14.0,46.81,33.86
Croatia,26.83,35.57,22.0,28.42,29.12
Spain,26.69,38.52,22.87,23.61,28.52
Chile,26.48,28.02,15.81,43.8,31.39
Thailand,25.54,35.48,13.74,35.73,30.96
Lithuania,25.28,33.99,19.05,28.95,28.21
Greece,25.06,38.35,21.43,20.31,26.82
Italy,23.66,34.44,22.37,18.33,24.37
Latvia,22.04,22.72,16.06,33.9,24.85
Ukraine,21.98,31.0,12.75,29.7,26.25
Colombia,21.91,25.59,11.5,36.87,26.72
Romania,19.93,28.21,13.65,24.39,22.88
Trinidad and Tobago,19.5,26.37,10.51,29.28,23.68
Hungary,19.21,26.33,15.21,21.75,21.15
Serbia,18.88,30.72,13.98,17.75,21.21
Panama,17.42,15.58,8.61,36.15,21.52
India,16.85,33.0,8.55,16.13,20.72
Brazil,16.71,18.84,10.04,28.31,19.84
Belarus,16.56,32.94,10.02,13.12,19.64
Philippines,16.15,23.24,7.64,25.19,20.11
South Africa,15.99,19.79,9.05,26.25,19.24
Poland,15.38,22.19,14.47,14.09,15.93
Moldova,14.72,22.38,7.96,20.78,17.89
Madagascar,14.71,17.9,6.75,27.12,18.43
Kazakhstan,14.55,22.53,8.09,19.88,17.6
Saudi Arabia,14.14,24.62,9.02,14.98,16.58
Mexico,14.09,24.17,7.43,17.54,17.23
Armenia,13.91,11.26,8.14,29.38,16.64
Bulgaria,12.97,19.35,9.59,15.73,14.63
Mongolia,12.7,14.55,6.45,24.23,15.65
Morocco,12.61,23.39,6.39,14.78,15.55
Algeria,11.85,24.85,5.94,11.32,14.65
North Macedonia,10.3,15.43,6.3,15.35,12.24
El Salvador,9.96,15.44,4.21,17.14,12.69
Georgia,9.38,12.8,5.37,16.29,11.33
Uruguay,9.17,9.06,5.46,19.36,10.98
Guatemala,5.17,0.0,1.64,20.59,6.91
Costa Rica,4.89,3.89,2.14,14.89,6.28
Argentina,3.69,4.81,2.43,9.45,4.42
Azerbaijan,1.59,7.95,0.47,1.81,2.26
Pakistan,1.57,9.22,0.0,1.06,2.44
Bosnia and Herzegovina,0.0,4.64,0.36,0.0,0.0
